nom_liste;nuance;voix;Annee;Election;Tour;Inscrits;Votants;Exprimes;Participation;Region;Code;Clef;Date
;LDIV;215465;2017;Presidentielles;2;491298;379474;332319;0.676410243884567;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;LFN;116854;2017;Presidentielles;2;491298;379474;332319;0.676410243884567;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;DLF;253617;2017;Presidentielles;2;502323;391990;338994;0.6748526346593725;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;DIV;85377;2017;Presidentielles;2;502323;391990;338994;0.6748526346593725;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;;515491;2017;Presidentielles;2;1086565;834740;735752;0.677135744295095;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;;220261;2017;Presidentielles;2;1086565;834740;735752;0.677135744295095;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;COM;26994;2017;Presidentielles;2;59496;47612;40269;0.6768354175070593;Occitanie;76;Presidentielles22017;07/05/2017
;LR;13275;2017;Presidentielles;2;59496;47612;40269;0.6768354175070593;Occitanie;76;Presidentielles22017;07/05/2017
;UD;47983;2017;Presidentielles;2;117406;90708;76057;0.6478118665144882;Occitanie;76;Presidentielles22017;07/05/2017
;FN;28074;2017;Presidentielles;2;117406;90708;76057;0.6478118665144882;Occitanie;76;Presidentielles22017;07/05/2017
;REM;66937;2017;Presidentielles;2;136265;108968;92739;0.680578284959454;Occitanie;76;Presidentielles22017;07/05/2017
;ECO;25802;2017;Presidentielles;2;136265;108968;92739;0.680578284959454;Occitanie;76;Presidentielles22017;07/05/2017
;;67571;2017;Presidentielles;2;144950;117315;100995;0.696757502587099;Occitanie;76;Presidentielles22017;07/05/2017
;;33424;2017;Presidentielles;2;144950;117315;100995;0.696757502587099;Occitanie;76;Presidentielles22017;07/05/2017
;DIV;79794;2017;Presidentielles;2;177678;137016;117019;0.65860151510035;Occitanie;76;Presidentielles22017;07/05/2017
;DIV;37225;2017;Presidentielles;2;177678;137016;117019;0.65860151510035;Occitanie;76;Presidentielles22017;07/05/2017
;DVD;71988;2017;Presidentielles;2;183329;143807;125154;0.6826743177566015;Occitanie;76;Presidentielles22017;07/05/2017
;DIV;53166;2017;Presidentielles;2;183329;143807;125154;0.6826743177566015;Occitanie;76;Presidentielles22017;07/05/2017
;LDIV;109340;2017;Presidentielles;2;218097;174246;150178;0.688583520176802;Occitanie;76;Presidentielles22017;07/05/2017
;LUC;40838;2017;Presidentielles;2;218097;174246;150178;0.688583520176802;Occitanie;76;Presidentielles22017;07/05/2017
;UMP;100901;2017;Presidentielles;2;272643;210813;182353;0.6688343364766379;Occitanie;76;Presidentielles22017;07/05/2017
;UG;81452;2017;Presidentielles;2;272643;210813;182353;0.6688343364766379;Occitanie;76;Presidentielles22017;07/05/2017
;DVD;125591;2017;Presidentielles;2;291153;228889;197447;0.6781554715218459;Occitanie;76;Presidentielles22017;07/05/2017
;LR;71856;2017;Presidentielles;2;291153;228889;197447;0.6781554715218459;Occitanie;76;Presidentielles22017;07/05/2017
;DIV;118644;2017;Presidentielles;2;347864;261153;224518;0.645418899339972;Occitanie;76;Presidentielles22017;07/05/2017
;EXD;105874;2017;Presidentielles;2;347864;261153;224518;0.645418899339972;Occitanie;76;Presidentielles22017;07/05/2017
;;194989;2017;Presidentielles;2;537840;407415;356114;0.6621188457533839;Occitanie;76;Presidentielles22017;07/05/2017
;;161125;2017;Presidentielles;2;537840;407415;356114;0.6621188457533839;Occitanie;76;Presidentielles22017;07/05/2017
;;312419;2017;Presidentielles;2;800264;602635;527566;0.6592399508162307;Occitanie;76;Presidentielles22017;07/05/2017
;;215147;2017;Presidentielles;2;800264;602635;527566;0.6592399508162307;Occitanie;76;Presidentielles22017;07/05/2017
;;436665;2017;Presidentielles;2;906832;686285;603260;0.6652389858319954;Occitanie;76;Presidentielles22017;07/05/2017
;;166595;2017;Presidentielles;2;906832;686285;603260;0.6652389858319954;Occitanie;76;Presidentielles22017;07/05/2017
;LUMP;55411;2017;Presidentielles;2;117394;92115;79349;0.6759204047907048;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;LDIV;23938;2017;Presidentielles;2;117394;92115;79349;0.6759204047907048;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;;76233;2017;Presidentielles;2;177116;139475;120345;0.6794699518959326;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;;44112;2017;Presidentielles;2;177116;139475;120345;0.6794699518959326;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;DVD;104599;2017;Presidentielles;2;249216;194729;167708;0.6729423472008218;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;DLF;63109;2017;Presidentielles;2;249216;194729;167708;0.6729423472008218;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;COM;106579;2017;Presidentielles;2;253479;194185;166786;0.6579874466918364;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;VEC;60207;2017;Presidentielles;2;253479;194185;166786;0.6579874466918364;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;EXG;135118;2017;Presidentielles;2;310179;237888;208716;0.6728888802917026;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;UDI;73598;2017;Presidentielles;2;310179;237888;208716;0.6728888802917026;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;LDIV;157992;2017;Presidentielles;2;369462;287353;252304;0.6828956699200459;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
